fighter_name,bonus_type,event_name,event_date
Tim Elliott,PERF,UFC Fight Night: Song vs. Gutierrez,
HyunSung Park,PERF,UFC Fight Night: Song vs. Gutierrez,
Arman Tsarukyan,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Jalin Turner,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Sean Brady,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Dustin Stoltzfus,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Miesha Tate,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Cody Brundage,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Drakkar Klose,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Rodolfo Bellato,FIGHT,UFC Fight Night: Dariush vs. Tsarukyan,
Ihor Potieria,FIGHT,UFC Fight Night: Dariush vs. Tsarukyan,
Jared Gooden,PERF,UFC Fight Night: Dariush vs. Tsarukyan,
Brendan Allen,PERF,UFC Fight Night: Allen vs. Craig,
Amanda Ribas,PERF,UFC Fight Night: Allen vs. Craig,
Joanderson Brito,PERF,UFC Fight Night: Allen vs. Craig,
Jeka Saragih,PERF,UFC Fight Night: Allen vs. Craig,
Alex Pereira,PERF,UFC 295: Prochazka vs. Pereira,
Tom Aspinall,PERF,UFC 295: Prochazka vs. Pereira,
Jessica Andrade,PERF,UFC 295: Prochazka vs. Pereira,
Benoit Saint Denis,PERF,UFC 295: Prochazka vs. Pereira,
Diego Lopes,PERF,UFC 295: Prochazka vs. Pereira,
Nazim Sadykhov,FIGHT,UFC 295: Prochazka vs. Pereira,
Viacheslav Borshchev,FIGHT,UFC 295: Prochazka vs. Pereira,
Nicolas Dalby,FIGHT,UFC Fight Night: Almeida vs. Lewis,
Gabriel Bonfim,FIGHT,UFC Fight Night: Almeida vs. Lewis,
Elves Brener,PERF,UFC Fight Night: Almeida vs. Lewis,
